Mean,Min,Max
14.0300,4.0000,30.0000
21.0000,4.0000,78.0000
68.4900,5.0000,200.0000
74.8200,9.0000,200.0000
42.8000,9.0000,200.0000
45.0200,7.0000,200.0000
83.6300,13.0000,200.0000
65.1200,13.0000,200.0000
61.2600,13.0000,200.0000
75.0900,14.0000,200.0000
87.9800,14.0000,200.0000
92.2300,14.0000,200.0000
96.8800,16.0000,200.0000
94.1900,16.0000,200.0000
96.9500,16.0000,200.0000
97.0500,16.0000,200.0000
93.5400,12.0000,200.0000
86.1900,12.0000,200.0000
78.8800,10.0000,200.0000
67.5200,7.0000,200.0000
